file,label,MDM/Profile,Logs/System,Comm/Energy,Apps/Finance/SNS,Journal/Shortcuts/Cal,External/UIJack,Vendors,Vuln/Chip/FW,Flame,Exclude
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,2222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,5555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,8888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,12222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,15555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,18888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,22222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,25555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,28888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,32222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,35555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,38888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,42222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,45555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,48888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,52222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,55555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,58888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,62222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,65555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,68888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,72222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,75555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,78888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,82222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,85555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,88888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,92222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,95555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,98888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,102222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,105555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,108888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,112222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,115555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,118888,0,0,0,0,0,0,0,0,1,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,122222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,125555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,128888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,132222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,135555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,138888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,142222,0,0,0,0,0,0,0,0,1,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,145555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,148888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,152222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,155555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,158888,0,0,0,0,0,0,0,0,0,0
