timestamp_local,bug_type,incident_id,os_version,product,reason,roots_installed,frontmostPids,thread_names,source_file
2025-06-04 22:19:05.00 +0700,288,E61B134D-44D3-4FD6-BC7B-350FB3A8D774,iPhone OS 18.5 (22F76),,,0,,[],bug_type_288-2025_0604_221905.docx
2025-06-04 22:19:05.00 +0700,288,E61B134D-44D3-4FD6-BC7B-350FB3A8D774,iPhone OS 18.5 (22F76),,,0,,[],Text-06- bug-type-288-2025-0604-221905.docx
